,0
0,001110010111
1,110001010111
2,001001000000
3,000101010101
4,001001010101
5,000101010000
6,001001010101
7,000101101101
8,111010010000
9,110001101100
10,110001010100
11,110001010100
12,110001010111
13,001010000000
14,110001000101
15,110001000000
16,001001010100
17,000000010111
18,110110111111
19,000000010101
20,001001010101
21,000101010101
22,001001000000
23,000101010111
24,110001000111
25,000101000000
26,110101000000
27,110110010101
28,000101010101
29,001110100100
30,110101010101
31,000000010101
32,000000010111
33,001010000000
34,110101011101
35,000000010000
36,000000010111
37,000101010101
38,000101010101
39,000000000101
40,000000011101
41,110001010100
42,000101010000
43,110001010101
44,111010010001
45,110101011101
46,000101010100
47,110001000000
48,000101010000
49,110001010100
50,000000000000
51,000000101111
52,000000000111
53,000000010100
54,001010010101
55,000000000000
56,001001101111
57,110001100101
58,110001011101
59,110001010000
60,110001010111
61,001001010101
62,001010011101
63,000000100111
64,110001010101
65,001001010101
66,110001010100
67,110001010100
68,000101010111
69,110001010111
70,110001010101
71,000101000000
72,001001011111
73,110110010000
74,000101011111
75,001110011111
76,000101010101
77,001001010111
78,000101010000
79,110001010101
80,110110010111
81,000101010101
82,110001000000
83,111010000000
84,001001000000
85,110001011101
86,110001010111
87,000101110101
88,000000011111
89,000000000111
90,001001010101
91,001001010101
92,110101000000
93,000000010101
94,001001010111
95,001010110101
96,111010010101
97,000101010111
98,000101010101
99,000101101111
100,110101000000
101,000000010100
102,110001000101
103,000101010101
104,110001010101
105,000101111111
106,000101101111
107,000000010111
108,110001010100
109,110101010100
110,110001010101
111,110001010101
112,000000010011
113,110001010100
114,110101010101
115,000101010101
116,110001101100
117,110001010111
118,110001010101
119,110101101101
120,110001010111
121,110110011111
122,000000000000
123,001110010100
124,110001010111
125,000000010101
126,110101000000
127,000000000111
128,000101011111
129,110001010100
130,110001100111
131,000000010111
132,000000000000
133,000101010101
134,110001100100
135,110101010111
136,000000100111
137,001110010000
138,000101010101
139,110110010000
140,110001000000
141,110001101101
142,000000011111
143,000000000101
144,110001010111
145,000000010101
146,110110010100
147,111010010100
148,000000010101
149,000101010111
150,000101010100
151,000101010111
152,000000010101
153,110001100111
154,000101101111
155,110001000101
156,001001010101
157,110110000000
158,000101010111
159,000101000000
160,000101010101
161,110001000101
162,000101010111
163,001110101111
164,000101010111
165,000000010101
166,110101010111
167,110001010111
168,110001010101
169,110001010111
170,000101000100
171,110001000101
172,110101011111
173,000101010100
174,000000010101
175,111010101100
176,110110010100
177,001001010111
178,000000011101
179,001110010100
180,110001100111
181,110001011101
182,000101000000
183,001001100111
184,000101010101
185,000000000101
186,111111101101
187,001110000000
188,110001000100
189,110101010101
190,001001101111
191,000101010000
192,000101010111
193,110001010101
194,000000010111
195,110101011111
196,110001000100
197,110001010100
198,000101010111
199,110101101101
200,001001010100
201,110001000000
202,000000010101
203,110001000101
204,000101000000
205,000101101111
206,000101010100
207,000000000111
208,110001010000
209,001001010111
210,000101010111
211,110110010000
212,001001010101
213,001110101100
214,001001010100
215,110110000000
216,000000010111
217,000000010101
218,110001000000
219,111111010100
220,110001000000
221,110001000101
222,000000000111
223,000000010101
224,000000010101
225,000000010101
226,000000100101
227,001001101101
228,000000000101
229,000000010111
230,000000010111
231,001001010000
232,000101010100
233,110001000000
234,000101000000
235,000000011100
236,000000010011
237,111010010000
238,110101010101
239,000101010101
240,110001000100
241,001001010101
242,000000010101
243,110001000100
244,110101010000
245,000000000111
246,001001010111
247,000101010100
248,000000010101
249,110001000111
250,110110010000
251,110110010000
252,110001010101
253,000101010111
254,000000010101
255,000000010000
256,000101000000
257,110001010111
258,110001010101
259,111010010000
260,000000000101
261,111010010111
262,000101011101
263,111010010000
264,000000000000
265,000101010100
266,000101010100
267,110101010100
268,110110101111
269,000000000101
270,000000010111
271,110101010101
272,000101111111
273,000000010101
274,110101100000
275,000000010101
276,110001010100
277,111010000000
278,110001010111
279,000000011111
280,000000010101
281,001001010101
282,001001000000
283,001110010111
284,110101010111
285,110101010001
286,000000010111
287,000000101111
288,111010010101
289,111010010101
290,110001000100
291,110001101101
292,110110101101
293,001001010101
294,110110101101
295,110001100111
296,110001010111
297,000101000000
298,000101010101
299,000000010111
300,111010000000
301,110110010101
302,000101000000
303,001001010100
304,000101100100
305,110101010101
306,110001000000
307,110101000000
308,110001010111
309,110001000000
310,000101000000
311,000000010100
312,110001010101
313,110001000000
314,000000000000
315,000000010111
316,000101000000
317,111010010000
318,000000000111
319,110001000000
320,110001011100
321,110001010100
322,000101011100
323,000000010100
324,110101010111
325,000101000000
326,001001010111
327,110101010111
328,000000010101
329,000000000111
330,001110101101
331,110001010100
332,110001101101
333,110001100000
334,000000010101
335,110110011101
336,110001000000
337,110001000111
338,000000010111
339,110001000000
340,110001010101
341,110001000000
342,110001010111
343,000101011101
344,000101010000
345,110110000000
346,000000000111
347,110001000000
348,000101000000
349,000000010101
350,110001000100
351,110001010111
352,000101011101
353,000000010101
354,000101010111
355,000000000000
356,001001010111
357,000000011111
358,110001000100
359,110001010111
360,001010010111
361,000101011100
362,110101010101
363,110001000111
364,000000000000
